meter_distribution,compromised_fraction,trial,J0,J1,L0,L1,percent_delta_J,perceived_load_drop_percent
paper,0.1,0,6.647872366815574,21.527243805590835,-7738.779348790389,-6704.917716370277,223.82155699993822,-103386163242011.2
paper,0.1,1,6.649521638220541,21.427508048478664,-7738.612775081008,-6716.656039016454,222.2413462844647,-102195673606455.42
paper,0.1,2,6.652454546620231,21.66923814879248,-7738.832395212459,-6679.379795171391,225.7329756548506,-105945260004106.78
paper,0.1,3,6.648240600182837,21.479634873148555,-7738.675591722465,-6698.222618201386,223.08750788227835,-104045297352107.89
paper,0.1,4,6.653065880609347,21.447231582767383,-7738.536037606517,-6707.05853608252,222.36613867414542,-103147750152399.75
paper,0.1,5,6.647190520538173,21.419379305729066,-7738.733792561428,-6701.181769140821,222.23206540490287,-103755202342060.69
paper,0.1,6,6.650485792119651,21.43578054062796,-7738.5194548954,-6705.106314011602,222.31901865015368,-103341314088379.75
paper,0.1,7,6.650523414399536,21.39011279892587,-7738.725677991631,-6717.554879891337,221.63051636826913,-102117079810029.38
paper,0.1,8,6.65229645942964,21.423953933112607,-7738.842091168647,-6704.430801462305,222.05350533865823,-103441128970634.23
paper,0.1,9,6.650305623511832,21.37546646293641,-7738.7380678952495,-6715.207733163302,221.42081391514532,-102353033473194.77
paper,0.2,0,6.6536632552184045,21.62201985344801,-7739.010047651826,-6666.814927096382,224.96414417261147,-107219512055544.4
paper,0.2,1,6.6490410090274175,21.854289902972965,-7738.574109428831,-6658.121847666018,228.68333754147926,-108045226176281.34
paper,0.2,2,6.650730668572966,21.61700379493678,-7738.568628501264,-6665.970913586466,225.03201335583628,-107259771491479.83
paper,0.2,3,6.648730763858936,21.57434850201807,-7738.939833546564,-6670.667183705994,224.48822592263124,-106827264984057.0
paper,0.2,4,6.651893168677342,21.76774313315621,-7738.730424511965,-6657.29965727021,227.24132184889694,-108143076724175.44
paper,0.2,5,6.65346170369494,21.469476744436626,-7738.957390920282,-6686.920529783234,222.68130035998772,-105203686113704.77
paper,0.2,6,6.648785542924314,21.506558536622464,-7738.723780537622,-6681.759585857624,223.4659683001793,-105696419467999.75
paper,0.2,7,6.649775918243055,21.6830525075113,-7738.983629819777,-6657.900722315342,226.0719274468455,-108108290750443.48
paper,0.2,8,6.652094572687872,21.6366751173351,-7738.880664578,-6670.451341833756,225.26108702920163,-106842932274424.39
paper,0.2,9,6.651373337986255,21.737894750441754,-7738.7471391218905,-6666.402709058193,226.81814184592196,-107234443006369.73
paper,0.3,0,6.646243712450351,21.8976159837274,-7738.616226931141,-6601.647952615796,229.47356328066607,-113696827431534.42
paper,0.3,1,6.651440809810005,21.692924979972396,-7738.600532791521,-6635.659862061566,226.13873595594765,-110294067072995.48
paper,0.3,2,6.654629278482917,21.85717609902776,-7738.581370925593,-6614.869805847732,228.4506947622277,-112371156507786.03
paper,0.3,3,6.650083844644277,21.92546631212288,-7738.6742735369535,-6616.56844747518,229.7021033769493,-112210582606177.38
paper,0.3,4,6.651844587767496,21.62081192751482,-7738.889471501491,-6644.629157152933,225.03483270301774,-109426031434855.84
paper,0.3,5,6.651091391874129,21.848493338716732,-7738.559936605836,-6612.984276590376,228.49485973700197,-112557566001546.0
